Batch,Date,Product,Flavor,Size,Operator,Start,End,Duration,Min batch time,Lost Time
422111,2024-08-29,OR-600,Orange,600 ml,Mac,2024-08-29 11:50:00,2024-08-29 14:05:00,135.0,60,75.0
422112,2024-08-29,LE-600,Lemon lime,600 ml,Mac,2024-08-29 14:05:00,2024-08-29 15:45:00,100.0,60,40.0
422113,2024-08-29,LE-600,Lemon lime,600 ml,Mac,2024-08-29 15:45:00,2024-08-29 17:35:00,110.0,60,50.0
422114,2024-08-29,LE-600,Lemon lime,600 ml,Mac,2024-08-29 17:35:00,2024-08-29 19:15:00,100.0,60,40.0
422115,2024-08-29,LE-600,Lemon lime,600 ml,Charlie,2024-08-29 19:15:00,2024-08-29 20:39:00,84.0,60,24.0
422116,2024-08-29,LE-600,Lemon lime,600 ml,Charlie,2024-08-29 20:39:00,2024-08-29 21:39:00,60.0,60,0.0
422117,2024-08-29,LE-600,Lemon lime,600 ml,Charlie,2024-08-29 21:39:00,2024-08-29 22:54:00,75.0,60,15.0
422118,2024-08-30,CO-600,Cola,600 ml,Dee,2024-08-30 04:05:00,2024-08-30 06:05:00,120.0,60,60.0
422119,2024-08-30,CO-600,Cola,600 ml,Dee,2024-08-30 06:05:00,2024-08-30 07:30:00,85.0,60,25.0
422120,2024-08-30,CO-600,Cola,600 ml,Dee,2024-08-30 07:30:00,2024-08-30 09:22:00,112.0,60,52.0
422121,2024-08-30,CO-600,Cola,600 ml,Dennis,2024-08-30 09:22:00,2024-08-30 10:37:00,75.0,60,15.0
422122,2024-08-30,CO-600,Cola,600 ml,Dennis,2024-08-30 10:37:00,2024-08-30 12:02:00,85.0,60,25.0
422123,2024-08-30,CO-600,Cola,600 ml,Dennis,2024-08-30 12:02:00,2024-08-30 14:15:00,133.0,60,73.0
422124,2024-08-30,CO-600,Cola,600 ml,Dennis,2024-08-30 14:15:00,2024-08-30 15:55:00,100.0,60,40.0
422125,2024-08-30,CO-600,Cola,600 ml,Charlie,2024-08-30 15:55:00,2024-08-30 17:15:00,80.0,60,20.0
422126,2024-08-30,CO-600,Cola,600 ml,Charlie,2024-08-30 17:15:00,2024-08-30 18:59:00,104.0,60,44.0
422127,2024-08-30,CO-600,Cola,600 ml,Charlie,2024-08-30 18:59:00,2024-08-30 20:22:00,83.0,60,23.0
422128,2024-08-30,CO-600,Cola,600 ml,Charlie,2024-08-30 20:22:00,2024-08-30 22:14:00,112.0,60,52.0
422129,2024-08-30,CO-600,Cola,600 ml,Charlie,2024-08-30 22:14:00,2024-08-30 23:29:00,75.0,60,15.0
422130,2024-08-31,CO-600,Cola,600 ml,Dee,2024-08-31 07:45:00,2024-08-31 09:05:00,80.0,60,20.0
422131,2024-08-31,CO-600,Cola,600 ml,Dee,2024-08-31 09:05:00,2024-08-31 10:35:00,90.0,60,30.0
422132,2024-08-31,CO-600,Cola,600 ml,Dee,2024-08-31 10:35:00,2024-08-31 11:35:00,60.0,60,0.0
422133,2024-08-31,DC-600,Diet Cola,600 ml,Dee,2024-08-31 11:35:00,2024-08-31 12:55:00,80.0,60,20.0
422134,2024-08-31,DC-600,Diet Cola,600 ml,Mac,2024-08-31 12:55:00,2024-08-31 14:45:00,110.0,60,50.0
422135,2024-08-31,DC-600,Diet Cola,600 ml,Mac,2024-08-31 14:45:00,2024-08-31 16:30:00,105.0,60,45.0
422136,2024-08-31,DC-600,Diet Cola,600 ml,Mac,2024-08-31 16:30:00,2024-08-31 17:30:00,60.0,60,0.0
422144,2024-09-02,CO-2L,Cola,2 L,Dennis,2024-09-02 12:18:00,2024-09-02 14:50:00,152.0,98,54.0
422145,2024-09-02,CO-2L,Cola,2 L,Charlie,2024-09-02 14:50:00,2024-09-02 16:50:00,120.0,98,22.0
422146,2024-09-02,CO-2L,Cola,2 L,Charlie,2024-09-02 16:50:00,2024-09-02 19:30:00,160.0,98,62.0
422147,2024-09-02,CO-2L,Cola,2 L,Charlie,2024-09-02 19:30:00,2024-09-02 22:55:00,205.0,98,107.0
422148,2024-09-03,CO-2L,Cola,2 L,Mac,2024-09-03 22:55:00,2024-09-04 01:05:00,130.0,98,32.0
